SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
531672,INANI SEC.  ,XT,Q,16.40,16.40,16.40,16.40,16.40,16.40,1,10,164.00,
531687,KARUTURI GLO,Z ,Q,0.26,0.27,0.25,0.26,0.26,0.26,47,468507,121983.00,
531688,PRITHVIEXCH ,X ,Q,18.10,18.40,17.35,18.40,18.40,18.45,7,80,1462.00,
531692,KHYATI MULTI,XT,Q,0.64,0.64,0.64,0.64,0.64,0.66,1,100,64.00,
531716,TRICOMFRU   ,X ,Q,4.06,4.06,4.06,4.06,4.06,4.06,1,1,4.00,
531717,VIDHIING    ,B ,Q,206.05,208.00,198.50,199.75,199.75,201.80,360,13943,2834128.00,
531719,BHAGIRA.CHEM,X ,Q,495.00,505.00,488.30,495.90,494.90,500.55,95,2242,1107595.00,
531726,PANCHSHEEL O,XT,Q,85.30,85.30,82.00,84.50,82.30,83.40,23,944,79670.00,
531727,MENON PISTON,X ,Q,17.65,17.65,17.00,17.20,17.10,17.30,47,5072,87195.00,
531737,GREENCREST  ,X ,Q,0.84,0.84,0.83,0.84,0.84,0.83,44,50442,42297.00,
531739,GENNEX LAB  ,X ,Q,4.12,4.12,3.94,4.06,4.08,3.97,350,214231,859915.00,
531744,GINI SILK MI,X ,Q,66.00,66.00,65.50,65.50,65.50,68.90,2,26,1703.00,
531746,PRAJAY ENGS.,B ,Q,7.60,8.50,7.60,8.20,8.20,7.99,25,7709,61351.00,
531752,BIOGEN      ,XT,Q,0.25,0.25,0.25,0.25,0.25,0.24,57,362220,90555.00,
531761,APOLLOPIPES ,A ,Q,999.75,1018.85,986.05,1003.90,1004.20,1004.95,498,3614,3594153.00,
531762,UNJHA FORMUL,XT,Q,8.40,8.40,8.40,8.40,8.40,8.08,1,5,42.00,
